"YEAR","REGION","GENDER","GRADE","ENROLLMENT"
"2018-2019",15,"MALE","Grade 8",1908
"2018-2019",15,"FEMALE","Grade 9",1850
"2018-2019",15,"MALE","Grade 9",2018
"2018-2019",15,"FEMALE","Grade 10",1759
"2018-2019",15,"MALE","Grade 10",1804
"2018-2019",15,"FEMALE","Grade 11",1621
"2018-2019",15,"MALE","Grade 11",1655
"2018-2019",15,"FEMALE","Grade 12",1564
"2018-2019",15,"MALE","Grade 12",1653
"2018-2019",16,"FEMALE","Early Education",103
"2018-2019",16,"MALE","Early Education",261
"2018-2019",16,"FEMALE","Pre-kindergarten",2088
"2018-2019",16,"MALE","Pre-kindergarten",2234
"2018-2019",16,"FEMALE","Kindergarten",2960
"2018-2019",16,"MALE","Kindergarten",3223
"2018-2019",16,"FEMALE","Grade 1",2948
"2018-2019",16,"MALE","Grade 1",3095
"2018-2019",16,"FEMALE","Grade 2",3023
"2018-2019",16,"MALE","Grade 2",3148
"2018-2019",16,"FEMALE","Grade 3",3063
"2018-2019",16,"MALE","Grade 3",3139
"2018-2019",16,"FEMALE","Grade 4",3199
"2018-2019",16,"MALE","Grade 4",3321
"2018-2019",16,"FEMALE","Grade 5",3144
"2018-2019",16,"MALE","Grade 5",3386
"2018-2019",16,"FEMALE","Grade 6",3225
"2018-2019",16,"MALE","Grade 6",3363
"2018-2019",16,"FEMALE","Grade 7",3077
"2018-2019",16,"MALE","Grade 7",3155
"2018-2019",16,"FEMALE","Grade 8",3131
"2018-2019",16,"MALE","Grade 8",3230
"2018-2019",16,"FEMALE","Grade 9",3114
"2018-2019",16,"MALE","Grade 9",3408
"2018-2019",16,"FEMALE","Grade 10",3036
"2018-2019",16,"MALE","Grade 10",3022
"2018-2019",16,"FEMALE","Grade 11",2681
"2018-2019",16,"MALE","Grade 11",2949
"2018-2019",16,"FEMALE","Grade 12",2591
"2018-2019",16,"MALE","Grade 12",2701
"2018-2019",17,"FEMALE","Early Education",148
"2018-2019",17,"MALE","Early Education",264
"2018-2019",17,"FEMALE","Pre-kindergarten",2062
"2018-2019",17,"MALE","Pre-kindergarten",2068
"2018-2019",17,"FEMALE","Kindergarten",2911
"2018-2019",17,"MALE","Kindergarten",3092
"2018-2019",17,"FEMALE","Grade 1",2963
"2018-2019",17,"MALE","Grade 1",3158
"2018-2019",17,"FEMALE","Grade 2",2918
"2018-2019",17,"MALE","Grade 2",3141
"2018-2019",17,"FEMALE","Grade 3",3076
"2018-2019",17,"MALE","Grade 3",3343
"2018-2019",17,"FEMALE","Grade 4",3204
"2018-2019",17,"MALE","Grade 4",3429
"2018-2019",17,"FEMALE","Grade 5",3248
"2018-2019",17,"MALE","Grade 5",3352
"2018-2019",17,"FEMALE","Grade 6",3331
"2018-2019",17,"MALE","Grade 6",3502
"2018-2019",17,"FEMALE","Grade 7",3012
"2018-2019",17,"MALE","Grade 7",3119
"2018-2019",17,"FEMALE","Grade 8",3018
"2018-2019",17,"MALE","Grade 8",3174
"2018-2019",17,"FEMALE","Grade 9",2992
"2018-2019",17,"MALE","Grade 9",3264
"2018-2019",17,"FEMALE","Grade 10",2869
"2018-2019",17,"MALE","Grade 10",3087
"2018-2019",17,"FEMALE","Grade 11",2685
"2018-2019",17,"MALE","Grade 11",2763
"2018-2019",17,"FEMALE","Grade 12",2716
"2018-2019",17,"MALE","Grade 12",2594
"2018-2019",18,"FEMALE","Early Education",93
"2018-2019",18,"MALE","Early Education",193
"2018-2019",18,"FEMALE","Pre-kindergarten",1781
"2018-2019",18,"MALE","Pre-kindergarten",1815
"2018-2019",18,"FEMALE","Kindergarten",3638
"2018-2019",18,"MALE","Kindergarten",3800
"2018-2019",18,"FEMALE","Grade 1",3705
"2018-2019",18,"MALE","Grade 1",3782
"2018-2019",18,"FEMALE","Grade 2",3485
"2018-2019",18,"MALE","Grade 2",3619
"2018-2019",18,"FEMALE","Grade 3",3449
"2018-2019",18,"MALE","Grade 3",3703
"2018-2019",18,"FEMALE","Grade 4",3693
"2018-2019",18,"MALE","Grade 4",3827
"2018-2019",18,"FEMALE","Grade 5",3688
"2018-2019",18,"MALE","Grade 5",3863
"2018-2019",18,"FEMALE","Grade 6",3605
"2018-2019",18,"MALE","Grade 6",3816
"2018-2019",18,"FEMALE","Grade 7",3310
"2018-2019",18,"MALE","Grade 7",3473
"2018-2019",18,"FEMALE","Grade 8",3284
"2018-2019",18,"MALE","Grade 8",3544
"2018-2019",18,"FEMALE","Grade 9",3406
"2018-2019",18,"MALE","Grade 9",3790
"2018-2019",18,"FEMALE","Grade 10",3172
"2018-2019",18,"MALE","Grade 10",3344
"2018-2019",18,"FEMALE","Grade 11",2776
"2018-2019",18,"MALE","Grade 11",2776
"2018-2019",18,"FEMALE","Grade 12",2521
"2018-2019",18,"MALE","Grade 12",2508
"2018-2019",19,"FEMALE","Early Education",242
"2018-2019",19,"MALE","Early Education",514
"2018-2019",19,"FEMALE","Pre-kindergarten",4127
"2018-2019",19,"MALE","Pre-kindergarten",4213
"2018-2019",19,"FEMALE","Kindergarten",5399
"2018-2019",19,"MALE","Kindergarten",5668
"2018-2019",19,"FEMALE","Grade 1",5792
"2018-2019",19,"MALE","Grade 1",6157
"2018-2019",19,"FEMALE","Grade 2",5700
"2018-2019",19,"MALE","Grade 2",6006
"2018-2019",19,"FEMALE","Grade 3",5948
"2018-2019",19,"MALE","Grade 3",6241
"2018-2019",19,"FEMALE","Grade 4",6220
"2018-2019",19,"MALE","Grade 4",6411
"2018-2019",19,"FEMALE","Grade 5",6474
"2018-2019",19,"MALE","Grade 5",6628
"2018-2019",19,"FEMALE","Grade 6",6310
"2018-2019",19,"MALE","Grade 6",6789
"2018-2019",19,"FEMALE","Grade 7",6472
"2018-2019",19,"MALE","Grade 7",6771
"2018-2019",19,"FEMALE","Grade 8",6486
"2018-2019",19,"MALE","Grade 8",6830
"2018-2019",19,"FEMALE","Grade 9",7312
"2018-2019",19,"MALE","Grade 9",8162
"2018-2019",19,"FEMALE","Grade 10",6896
"2018-2019",19,"MALE","Grade 10",7139
"2018-2019",19,"FEMALE","Grade 11",6509
"2018-2019",19,"MALE","Grade 11",6580
"2018-2019",19,"FEMALE","Grade 12",6454
"2018-2019",19,"MALE","Grade 12",6544
"2018-2019",20,"FEMALE","Early Education",675
"2018-2019",20,"MALE","Early Education",1696
