"Year","Region","Grade Level Name","Gender Name","Gender Count"
"2016-2017",18,"Grade  2","Male",3718
"2016-2017",18,"Grade  3","Female",3543
"2016-2017",18,"Grade  3","Male",3689
"2016-2017",18,"Grade  4","Female",3454
"2016-2017",18,"Grade  4","Male",3669
"2016-2017",18,"Grade  5","Female",3243
"2016-2017",18,"Grade  5","Male",3391
"2016-2017",18,"Grade  6","Female",3216
"2016-2017",18,"Grade  6","Male",3474
"2016-2017",18,"Grade  7","Female",3117
"2016-2017",18,"Grade  7","Male",3452
"2016-2017",18,"Grade  8","Female",3168
"2016-2017",18,"Grade  8","Male",3274
"2016-2017",18,"Grade  9","Female",3276
"2016-2017",18,"Grade  9","Male",3706
"2016-2017",18,"Grade 10","Female",2960
"2016-2017",18,"Grade 10","Male",3215
"2016-2017",18,"Grade 11","Female",2558
"2016-2017",18,"Grade 11","Male",2664
"2016-2017",18,"Grade 12","Female",2381
"2016-2017",18,"Grade 12","Male",2330
"2016-2017",19,"Early Education","Female",234
"2016-2017",19,"Early Education","Male",487
"2016-2017",19,"Pre-kindergarten","Female",4096
"2016-2017",19,"Pre-kindergarten","Male",4221
"2016-2017",19,"Kindergarten","Female",5589
"2016-2017",19,"Kindergarten","Male",5951
"2016-2017",19,"Grade  1","Female",6029
"2016-2017",19,"Grade  1","Male",6376
"2016-2017",19,"Grade  2","Female",6235
"2016-2017",19,"Grade  2","Male",6514
"2016-2017",19,"Grade  3","Female",6494
"2016-2017",19,"Grade  3","Male",6545
"2016-2017",19,"Grade  4","Female",6389
"2016-2017",19,"Grade  4","Male",6797
"2016-2017",19,"Grade  5","Female",6379
"2016-2017",19,"Grade  5","Male",6627
"2016-2017",19,"Grade  6","Female",6304
"2016-2017",19,"Grade  6","Male",6618
"2016-2017",19,"Grade  7","Female",6467
"2016-2017",19,"Grade  7","Male",6773
"2016-2017",19,"Grade  8","Female",6305
"2016-2017",19,"Grade  8","Male",6674
"2016-2017",19,"Grade  9","Female",7208
"2016-2017",19,"Grade  9","Male",7866
"2016-2017",19,"Grade 10","Female",6973
"2016-2017",19,"Grade 10","Male",7182
"2016-2017",19,"Grade 11","Female",6424
"2016-2017",19,"Grade 11","Male",6679
"2016-2017",19,"Grade 12","Female",6284
"2016-2017",19,"Grade 12","Male",6290
"2016-2017",20,"Early Education","Female",630
"2016-2017",20,"Early Education","Male",1505
"2016-2017",20,"Pre-kindergarten","Female",9696
"2016-2017",20,"Pre-kindergarten","Male",10056
"2016-2017",20,"Kindergarten","Female",15851
"2016-2017",20,"Kindergarten","Male",16479
"2016-2017",20,"Grade  1","Female",16749
"2016-2017",20,"Grade  1","Male",17826
"2016-2017",20,"Grade  2","Female",17107
"2016-2017",20,"Grade  2","Male",18587
"2016-2017",20,"Grade  3","Female",17778
"2016-2017",20,"Grade  3","Male",18771
"2016-2017",20,"Grade  4","Female",17784
"2016-2017",20,"Grade  4","Male",18723
"2016-2017",20,"Grade  5","Female",17503
"2016-2017",20,"Grade  5","Male",18307
"2016-2017",20,"Grade  6","Female",17339
"2016-2017",20,"Grade  6","Male",17963
"2016-2017",20,"Grade  7","Female",17435
"2016-2017",20,"Grade  7","Male",18115
"2016-2017",20,"Grade  8","Female",16996
"2016-2017",20,"Grade  8","Male",17897
"2016-2017",20,"Grade  9","Female",18813
"2016-2017",20,"Grade  9","Male",20396
"2016-2017",20,"Grade 10","Female",17524
"2016-2017",20,"Grade 10","Male",18379
"2016-2017",20,"Grade 11","Female",16420
"2016-2017",20,"Grade 11","Male",16759
"2016-2017",20,"Grade 12","Female",14820
"2016-2017",20,"Grade 12","Male",14978

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

