"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CHARTER STATUS","GRADE","ENROLLMENT"
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 11",37
"2019-2020",02,"NUECES COUNTY",178901,"AGUA DULCE ISD","TRADITIONAL ISD/CSD","Grade 12",29
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Early Education",27
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",75
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Kindergarten",339
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 1",319
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 2",350
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 3",335
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 4",364
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 5",357
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 6",362
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 7",385
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 8",365
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 9",437
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 10",419
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 11",421
"2019-2020",20,"BEXAR COUNTY",015901,"ALAMO HEIGHTS ISD","TRADITIONAL ISD/CSD","Grade 12",389
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<50"
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Kindergarten",58
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 1",70
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 2",66
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 3",70
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 4",59
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 5",76
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 6",71
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 7",67
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 8",62
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 9",52
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 10",65
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 11",71
"2019-2020",07,"WOOD COUNTY",250906,"ALBA-GOLDEN ISD","TRADITIONAL ISD/CSD","Grade 12",53
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<30"
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Kindergarten",32
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 1",42
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 2",38
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 3",29
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 4",33
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 5",39
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 6",37
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 7",45
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 8",43
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 9",34
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 10",39
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 11",38
"2019-2020",14,"SHACKELFORD COUNTY",209901,"ALBANY ISD","TRADITIONAL ISD/CSD","Grade 12",44
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD","TRADITIONAL ISD/CSD","Early Education",356
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",4152
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD","TRADITIONAL ISD/CSD","Kindergarten",4557
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD","TRADITIONAL ISD/CSD","Grade 1",4949
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD","TRADITIONAL ISD/CSD","Grade 2",4744
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD","TRADITIONAL ISD/CSD","Grade 3",5013
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD","TRADITIONAL ISD/CSD","Grade 4",4956
"2019-2020",04,"HARRIS COUNTY",101902,"ALDINE ISD","TRADITIONAL ISD/CSD","Grade 5",5337
